str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
能力上昇値,Ability increase value,能力上昇値,属性提升值,능력 상승치,屬性提升值,Valor de aumento de habilidad,ค่าการเพิ่มขึ้นของความสามารถ,Valor de aumento de habilidade,Wert der Fähigkeitssteigerung,Valeur d'augmentation de capacité
進化先,Evolution destination,進化先,进化结果,다음 장비로 진화,進化結果,Destino de evolución,จุดหมายของการวิวัฒนาการ,Destino de evolução,Ziel der Evolution,Destination d'évolution
入手可能ダンジョン,Found in,入手可能ダンジョン,可以获取的迷宫,획득처,可以獲得的迷宮,Encontrado en,พบในดันเจี้ยน,Encontrado em,Gefunden in,Trouvé dans
解析,Analysis,解析,解析,해석,分析,Análisis,การวิเคราะห์,Análise,Analyse,Analyse
まとめて解析,Aggregate Analysis,まとめて解析,全部解析,한번에 해석,全部解析,Análisis agregado,การวิเคราะห์แบบรวม,Análise agregada,Gesamtanalyse,Analyse globale
個別解析,Individual Analysis,個別解析,单独解析,개별 해석,單獨解析,Análisis individual,การวิเคราะห์แบบรายบุคคล,Análise individual,Einzelanalyse,Analyse individuelle
解析する,Analyze,解析する,解析,해석하기,分析,Analizar,วิเคราะห์,Analisar,Analysieren,Analyser
解析しました,Analyzed,解析しました,已解析,해석했습니다,已分析,Analizado,วิเคราะห์แล้ว,Analisado,Analysiert,Analysé
下級アイテムを自動解析,Automatic analysis of low-level items,下級アイテムを自動解析,自动解析低级物品,하위 아이템 자동 해석,自動分析低級物品,Análisis automático de objetos de bajo nivel,การวิเคราะห์อัตโนมัติสำหรับไอเทมระดับต่ำ,Análise automática de itens de nível baixo,Automatische Analyse von niedrigstufigen Gegenständen,Analyse automatique des objets de bas niveau
自動解析の設定,Auto-analysis settings,自動解析の設定,自动解析的设置,자동 해석 설정,自動解析的設置,Configuración de análisis automático,การตั้งค่าการวิเคราะห์อัตโนมัติ,Configurações de análise automática,Einstellungen für die automatische Analyse,Paramètres d'auto-analyse
指定したレベル以下のアイテム能力が、自動解析の対象になります。,Items with abilities below the specified level will be subject to auto-analysis.,指定したレベル以下のアイテム能力が、自動解析の対象になります。,物品的能力在指定等级以下时，该物品会被自动解析。,지정한 레벨 이하의 아이템 능력이 자동 해석의 대상이 됩니다.,物品的能力在指定等級以下時，該物品會被自動解析。,Los objetos con habilidades por debajo del nivel especificado estarán sujetos a análisis automático.,ไอเทมที่มีความสามารถต่ำกว่าระดับที่กำหนดจะได้รับการวิเคราะห์อัตโนมัติ,Itens com habilidades abaixo do nível especificado estarão sujeitos à análise automática.,Gegenstände mit Fähigkeiten unter dem angegebenen Niveau werden automatisch analysiert.,Les objets avec des capacités inférieures au niveau spécifié seront soumis à l'auto-analyse.
ただし、そのアイテムの侵蝕度が、所持している同種アイテムの中で最高値の場合は、自動解析の対象になりません。,"However, if the corrosion level of that item is the highest among the same type of items in possession, it will not be subject to auto-analysis.",ただし、そのアイテムの侵蝕度が、所持している同種アイテムの中で最高値の場合は、自動解析の対象になりません。,但是，如果该物品的侵蚀度在所持同种物品中最高时，则不会被自动解析。,"단, 그 아이템의 침식도가 소지 중인 같은 아이템들 중에서 가장 높을 경우 자동 해석의 대상이 되지 않습니다.",但是，如果該物品的侵蝕度在所持同種物品中最高時，則不會自動解析。,"Sin embargo, si el nivel de corrosión de ese objeto es el más alto entre los objetos del mismo tipo en posesión, no estará sujeto a análisis automático.",อย่างไรก็ตาม หากระดับการกัดกร่อนของไอเทมนั้นสูงที่สุดในบรรดาไอเทมชนิดเดียวกันที่ครอบครองอยู่ จะไม่อยู่ในขอบเขตของการวิเคราะห์อัตโนมัติ,"No entanto, se o nível de corrosão desse item for o mais alto entre os itens do mesmo tipo em posse, ele não estará sujeito à análise automática.","Wenn jedoch der Korrosionsgrad dieses Gegenstands der höchste unter den gleichartigen im Besitz ist, wird er nicht automatisch analysiert.","Cependant, si le niveau de corrosion de cet objet est le plus élevé parmi les objets du même type en possession, il ne sera pas soumis à l'auto-analyse."
赤い装備品を解析対象に含める,Include red equipment in the analysis target,赤い装備品を解析対象に含める,包含红色装备,붉은 장비도 해석 대상에 포함한다,包含紅色裝備,Incluir equipos rojos en el objetivo de análisis,รวมอุปกรณ์สีแดงในเป้าหมายการวิเคราะห์,Incluir equipamentos vermelhos no alvo da análise,Rote Ausrüstung in die Analyse einbeziehen,Inclure les équipements rouges dans la cible d'analyse
解析しない,Don't analyze,解析しない,不解析,해석하지 않는다,不解析,No analizar,ไม่วิเคราะห์,Não analisar,Nicht analysieren,Ne pas analyser
鑑定士の心得,Appraiser's Guide,鑑定士の心得,鉴定师的心得,감정사의 지침서,鑑定師的心得,Guía del tasador,คู่มือของนักประเมิน,Guia do Avaliador,Schätzerhandbuch,Guide de l'expert
下級アイテムの自動解析ができるようになる巻物,A scroll that enables automatic analysis of low-level items,下級アイテムの自動解析ができるようになる巻物,可自动解析低级物品的卷轴,하위 아이템 자동 해석을 가능하게 하는 두루마리,可自動分析低級物品的卷軸,Un pergamino que permite el análisis automático de objetos de bajo nivel,ม้วนกระดาษที่ช่วยให้สามารถวิเคราะห์ไอเทมระดับต่ำได้อัตโนมัติ,Um pergaminho que permite a análise automática de itens de nível baixo,"Eine Schriftrolle, die die automatische Analyse von niedrigstufigen Gegenständen ermöglicht",Un parchemin qui permet l'analyse automatique des objets de bas niveau
アイテムの良し悪しを見分ける秘訣が書かれている,It contains secrets to distinguish the quality of items.,アイテムの良し悪しを見分ける秘訣が書かれている,里面写有辨别物品优劣的秘诀,아이템의 좋고 나쁨을 판별하는 비결이 적혀있다,內寫辨別物品優劣的秘訣,Contiene secretos para distinguir la calidad de los objetos.,มีเคล็ดลับในการแยกแยะคุณภาพของไอเทมเขียนไว้,Contém segredos para distinguir a qualidade dos itens.,Sie enthält Geheimnisse zur Unterscheidung der Qualität von Gegenständen.,Il contient des secrets pour distinguer la qualité des objets.
限界突破,Break through the limit,限界突破,上限突破,한계돌파,上限突破,Superar el límite,ทะลุขีดจำกัด,Ultrapassar o limite,Grenzdurchbruch,Briser la limite
限界突破の説明,Description of breaking through the limit,限界突破の説明,关于上限突破的说明,한계돌파에 대한 설명,關於上限突破的說明,Descripción de superar el límite,คำอธิบายเกี่ยวกับการทะลุขีดจำกัด,Descrição de ultrapassar o limite,Beschreibung des Grenzdurchbruchs,Description de la percée de la limite
このアイテムの侵蝕度がXXX以上の場合のみ発現する能力。,This ability only manifests when the item's corrosion level is XXX or higher.,このアイテムの侵蝕度がXXX以上の場合のみ発現する能力。,只有该物品的侵蚀度达到XXX以上时，才能发现与之相对应的能力。,이 아이템의 침식도가 XXX 이상일 때만 발현되는 능력.,只有該物品的侵蝕度達到XXX以上時，才能發現與之相對應的能力。,Esta habilidad solo se manifiesta cuando el nivel de corrosión del objeto es XXX o superior.,ความสามารถนี้จะปรากฏก็ต่อเมื่อระดับการกัดกร่อนของไอเทมคือ XXX หรือสูงกว่า,Esta habilidade só se manifesta quando o nível de corrosão do item é XXX ou superior.,"Diese Fähigkeit manifestiert sich nur, wenn der Korrosionsgrad des Gegenstands XXX oder höher ist.",Cette capacité ne se manifeste que lorsque le niveau de corrosion de l'objet est XXX ou plus.
